1,"usually , he would be tearing around the living room , playing with his toys ."
2,but just one look at a minion sent him practically catatonic .
3,that had been megan 's plan when she got him dressed earlier .
4,"he ''d seen the movie almost by mistake , considering he was a little young for the pg cartoon , but with older cousins , along with her brothers , mason was often exposed to things that were older ."
5,she liked to think being surrounded by adults and older kids was one reason why he was a such a good talker for his age .
6,`` are n't you being a good boy ?
7,''
8,she said .
9,mason barely acknowledged her .
10,"instead , his baby blues remained focused on the television ."
11,"since the movie was almost over , megan knew she better slip into the bedroom and finish getting ready ."
12,"each time she looked into mason ''s face , she was grateful that he looked nothing like his father ."
13,his platinum blond hair and blue eyes were completely hers .
14,it was only his build that he was taking after his father .
15,"where megan was a diminutive 5''3 '''' , davis was 6''1 '''' and two hundred pounds ."
16,mason was already registering off the charts in height and weight according to his pediatrician .
17,davis had seen mason only twice in his lifetime-the day he had been born and the day he came home from the hospital .
18,"after that , he had n''t been interested in any of the pictures and emails megan sent ."
19,"with his professional football career on the rise , davis had n''t wanted to be shackled with the responsibilities of a baby ."
20,"instead , he wanted to spend his time off the field partying until all hours of the night ."
21,he only paid child support when megan threatened to have his wages garnished .
22,she dreaded the day when mason was old enough to ask about his father .
23,"she never wanted anything in the world to hurt him , and she knew that being rejected by his father would ."
24,"with a sigh , she stepped into the dress and slid it over her hips ."
25,wrestling around to get the zipper all the way up caused her to huff and puff .
26,"standing back from the mirror , she turned to and fro to take in her appearance ."
27,"she ''d always loved how the dress made her feel sexy , but at the same time was very respectable ."
28,"while it boasted a sweetheart neckline , the hemline fell just below her knees ."
29,"she put on her pearls-a high school graduation gift from her uncle aidan , or `` ankle '''' , as she often called him ."
30,aidan was her mother 's baby brother and only son of the family .
31,"when she was born , he was only eight and a half ."
32,"as the first grandchild , megan spent a lot of time with her grandparents , and that in turn , meant she spent a lot of time with aidan ."
33,he had devoted hours to holding her and spoiling her rotten .
34,"when it came time for her to talk , she just could n''t seem to get `` uncle aidan '''' out ."
35,"instead , she called him `` ankle ."
36,''
37,it was a nickname that had stuck with him even now that he was thirty-four and married .
38,"while it had been no question that she wanted him as godfather for mason , she had been extremely honored when he and his wife , emma , had asked her to be their son , noah ''s , godmother ."
39,she loved her newest cousin very much and planned to be the best godmother she could for him .
40,"as she stepped out of the bedroom , she found that mason had yet to move ."
41,"`` okay buddy , time to go ."
42,''
43,"when he started to whine , she shook her head ."
44,`` we have such a fun day ahead of us .
45,"it ''s noah ''s baptism , and then there ''s a party at uncle aidan and aunt emma ''s house ."
46,''
47,`` beau ?
48,''
49,he asked .
50,she laughed .
51,"`` yes , you ''ll get to see and play with beau , too ."
52,''
53,"as she went to the couch and picked him up , she could n''t help finding it amusing that out of everyone he was going to see today , he was most excited about being with aidan and emma ''s black lab , beau ."
54,"one day when they had their own place again , she would get him a dog ."
55,he loved them too much to be denied .
56,"`` oomph , '''' she muttered , as they started up the basement stairs ."
57,`` heawy ?
58,''
59,he asked .
60,"`` yes , you ''re getting to be such a big , heavy boy ."
61,''
62,"when they made it to the kitchen , megan paused to catch her breath ."
63,"she only had a second before her mother breezed in with sean , and her youngest brother , gavin ."
64,`` ready ?
65,''
66,she asked .
67,megan nodded .
68,"feeling like she was once again a teenager , she filed behind her parents as they headed into the garage ."
69,"`` i want to drive , '''' gavin said ."
70,"with a smirk , sean replied , `` like i ''m gon na let you drive my car ."
71,''
72,he then slid into the driver 's seat as gavin reluctantly walked around to the passenger 's side .
73,"`` we ''ll see you there in just a few , '''' her mother called ."
74,sean acknowledged her with a two finger salute before cranking up and pulling down the driveway .
75,megan worked to get mason into the car seat in her parents ' land rover .
76,"once he was safely strapped and buckled in , she hopped in beside him ."
77,her parents rattled along to each other as they made their way through the tree-lined suburbs where megan had grown up .
